"","species","avgbrood","avgsire","pmult","mean.q","sd.q","q2.5","q97.5","mean.nsires","sd.nsires","nsires2.5","nsires97.5","mean.nmates","sd.nmates","nmates2.5","nmates97.5","mean.estM","sd.estM","estM2.5","estM97.5","mean.est.pmult","sd.est.pmult","est.pmult2.5","est.pmult97.5","mean.avgR","sd.avgR","avgR2.5","avgR97.5","mean.avgM","sd.avgM","avgM2.5","avgM97.5","pred_pmult","pred_pmult_lcl","pred_pmult_ucl","resid_pmult","resid_pmult_lcl","resid_pmult_ucl"
"1","African wild dog, Lycaon pictus",4.2,1.2,0.167,0.374622239173734,0.0311777853122608,0.315579275643277,0.436036835860332,1.45,0.643558355509114,1,3,5.0109,3.1195561772018,2,13,3.89776129178098,1.7670354685317,2.32460128660311,8.38366355323282,0.75850863666887,0.0070945441056976,0.752868666962935,0.778290415084137,1.82983828112684,0.0903932901008938,1.66386876447905,2.01294150246715,3.22573348285323,0.272396298863947,2.75206106770957,3.80253106852409,0.778560239760832,0.766533294200229,0.796171193615766,0.611560239760832,0.599533294200229,0.629171193615766
"2","Agile antechinus, Antechinus agilis",7.7,2.8,0.978,0.3638098913563,0.00807498071323355,0.347959393925291,0.379597801476805,2.72765957446808,1.47543044077906,1,6,8.76802574468085,5.34063373527043,2,22,7.50118436731065,4.06192384030882,2.67494939713337,16.8695430074549,0.892019596425461,0.0060017010269592,0.880053832190792,0.90356111304022,2.89037219904511,0.055186503427681,2.78265237928968,2.99885523109622,7.70012373430641,0.171149280693409,7.37622817933599,8.04691595887428,0.829006380696996,0.816568500076441,0.844384006416507,-0.148993619303004,-0.161431499923559,-0.133615993583493
"3","Alpine marmot, Marmota marmota",3.5,1.3,0.265,0.445837603980375,0.010065172324814,0.425913952621286,0.465175452492618,1.625,0.818333193832332,1,4,4.87940558823529,2.90102527346022,2,12,3.64668654154517,1.83875561561538,2.16043221518064,8.83635889717674,0.736885040004221,0.00253297122277299,0.732804822428983,0.742492275869504,1.78694795484163,0.0238575966709559,1.74016382575657,1.83320727109036,2.91734923323614,0.0660087651691464,2.7946444573527,3.05225971596826,0.752951289897656,0.741527224748748,0.771161009111976,0.487951289897656,0.476527224748748,0.506161009111976
"4","American black bear, Ursus americanus",2.4,1.2,0.2,0.52389762752911,0.0413990964902996,0.441871169728892,0.605108663884734,1.5,0.90000090000135,1,3,4.125628,2.62140255380945,2,12,2.88137129920321,1.74987490120338,1.67277868940642,6.50885099201537,0.673630023370717,0.0109064736218279,0.666339349394663,0.705507711657771,1.51361086433591,0.0557047567312463,1.40778660120804,1.62724515619978,2.30509703936256,0.185643765453428,1.98311488771703,2.715723683711,0.67184356486874,0.664587514408272,0.68706713761398,0.47184356486874,0.464587514408272,0.48706713761398
"5","American mink, Neovison vison",3.6,1.6,0.6,0.461809459851241,0.038846043988947,0.385519525478386,0.538745325139249,1.52,0.727736943683717,1,3,4.528392,2.65275101894466,2,11,3.31516101661878,1.61827400212571,1.88964832707407,7.43060632033922,0.752045594659456,0.0148450602033242,0.7354260137896,0.789312186123585,1.86512551836325,0.09850750848422,1.67867038690791,2.0669874154173,3.48964317538819,0.299592214154377,2.96986335783124,4.15024375036775,0.757188656951053,0.745702608905727,0.775005796795384,0.157188656951053,0.145702608905727,0.175005796795384
"6","Arctic fox, Vulpes lagopus",5.4,1.1,0.125,0.303297723971508,0.0214662121678046,0.262317893028064,0.346485303767942,1.6875,0.830568848624703,1,3,6.65185375,4.4748025619499,2,18,5.59186762135203,2.78777618828373,2.94108996292334,10.9826461547608,0.778671552248665,0.00477190817113154,0.774876475131317,0.791810969888082,1.91027710287818,0.0826911717996103,1.75619381779486,2.08018136460615,3.64506926428873,0.259455625479372,3.17473782603268,4.19338531381886,0.79974393328585,0.785373909224472,0.818223874111273,0.67474393328585,0.660373909224472,0.693223874111273
"7","Asian lesser wihte-toothed shrew, Crocidura shantungensis",3,1.3,0.277,0.470488513830367,0.0204362277345424,0.430334858563508,0.510446425674738,1.56111111111111,0.803906581099644,1,3,4.55425777777778,2.71493895360923,2,11,3.3243631478238,1.71968977642985,1.9763342477366,6.97775546649266,0.711000571431914,0.00226605222572495,0.709277178700731,0.717503761865137,1.65806895317779,0.0385437814491054,1.58379585536574,1.73488998504096,2.76833087754722,0.120993892651021,2.54679028907263,3.02090331351176,0.72545934586151,0.714877885920786,0.744960516290689,0.44845934586151,0.437877885920786,0.467960516290689
"8","Big brown bat, Eptesicus fuscus",2,1.5,0.462,0.597350022493191,0.0198930996471197,0.558270163111818,0.635795549314307,1.41538461538462,0.665462551169955,1,3,3.62548384615385,1.91545089693439,2,9,2.37208139374818,1.11871492002826,1.58088686158482,5.18047006440527,0.620662470113003,0.00329644100122227,0.618037716186905,0.629651787545533,1.42615914742244,0.0202187346233076,1.38722245283491,1.46605591192405,2.51389060750487,0.0841798205433493,2.35924897810419,2.6868711645057,0.62291015026307,0.618881806134894,0.632377392105415,0.160910150263069,0.156881806134894,0.170377392105415
"9","Big-eared woodrat, Neotoma macrotis",2.2,1.2,0.2,0.563553091528028,0.0201801377589735,0.523796217381781,0.602712079401863,1.38,0.635295334029828,1,3,3.666068,1.96756960941869,2,9,2.45190255669746,1.13292257334492,1.66764376014359,5.43044219382892,0.64712205327133,0.00275921197291062,0.645107376636925,0.654962378955452,1.47873386366802,0.0240108729177505,1.4323804332505,1.52625661437076,2.13208917973693,0.0766882118978689,1.99100041476124,2.29096728881986,0.648686292464033,0.642936941038087,0.661330208585819,0.448686292464033,0.442936941038087,0.461330208585819
"10","Brandt's vole, Lasiopodomys brandtii",7.1,1.5,0.458,0.26363030775089,0.00993820544869846,0.244301548552663,0.283140730699536,1.91111111111111,0.999753241068576,1,4,8.24932740740741,5.74334648107738,2,23,7.25954409078611,3.81028224544583,3.58754390753561,16.1049559576255,0.802316370998932,0.00466563922826048,0.794620387538775,0.812581741554839,2.11269552934631,0.053625700395085,2.00956942759342,2.21911349009506,5.69789797823328,0.215515892630192,5.29771890248704,6.13995289423265,0.824356693722382,0.810896867687367,0.840729605818551,0.366356693722382,0.352896867687367,0.382729605818551
