species,avgbrood,avgsire,pmult,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
"Arctic fox, Vulpes lagopus",5.4,1.1,0.125,0.302800945,0.021448467,0.261515325,0.345937888,1.6875,0.830568849,1,3,6.65369,4.467295807,2,18,5.601118769,2.792528398,2.949056285,11.00593892,0.609188827,0.035832878,0.538089373,0.67910855,1.908366427,0.082545353,1.753296672,2.077947533,3.651099642,0.260399436,3.179761567,4.206254462,0.683662822,0.629631798,0.735531809,0.558662822,0.504631798,0.610531809
"Ethiopian wolf, Canis simensis",4.7,1.3,0.333,0.387862917,0.020869075,0.346694851,0.429318031,1.75,0.887412337,1,4,5.717885833,3.552486399,2,15,4.525063124,2.311056557,2.368466894,10.07706984,0.670068107,0.029622894,0.609995301,0.727220975,2.025537158,0.073077756,1.884257879,2.173464818,3.361475463,0.182262602,3.028058239,3.749695146,0.665025846,0.60948892,0.718601255,0.332025846,0.27648892,0.385601255
"African wild dog, Lycaon pictus",4.2,1.2,0.167,0.374032314,0.031846097,0.312268678,0.436686298,1.45,0.643558356,1,3,5.018763333,3.122625101,2,13,3.905285562,1.772464279,2.324158338,8.401441424,0.591315691,0.045692364,0.500476974,0.678877525,1.828213394,0.09220742,1.65506608,2.014975142,3.231960465,0.280316253,2.74796807,3.842844665,0.651563826,0.5975858,0.703824247,0.484563826,0.4305858,0.536824247
"Gray fox, Urocyon cinereoargenteus",3.3,1.1,0.143,0.389998391,0.030356841,0.330709788,0.449413166,1.428571429,0.68809161,1,4,4.80326,3.036009265,2,13,3.685521789,1.804299989,2.249016584,9.435242458,0.486567465,0.039249169,0.409730903,0.563149606,1.60138072,0.060730811,1.486403629,1.723587526,2.837851777,0.223967733,2.447636358,3.326179148,0.60861606,0.554302104,0.66224452,0.46561606,0.411302104,0.51924452
"Red fox, Vulpes vulpes",3.8,1.8,0.5,0.489515156,0.023148557,0.44430752,0.535068596,1.916666667,0.890537038,1,4,5.327005,2.851194984,2,12,3.924254595,1.834924827,1.911016862,8.339166011,0.692632037,0.02887125,0.635018443,0.748115161,2.017732369,0.066105398,1.891186081,2.150369837,3.685386924,0.175502496,3.364054652,4.051248119,0.634556769,0.580875033,0.686902282,0.134556769,0.080875033,0.186902282
"Cheetah, Acinonyx jubatus",3,1.5,0.435,0.471843875,0.01807657,0.43719367,0.507195145,1.586956522,0.779523071,1,4,4.614535652,2.669874022,2,11,3.368262702,1.660792316,1.98822412,8.192674344,0.536910139,0.022161373,0.494427279,0.580235038,1.660515933,0.034165901,1.596120537,1.728447646,3.183700362,0.122424251,2.957441559,3.430973741,0.584475093,0.530912982,0.637795062,0.149475093,0.095912982,0.202795062
"Domestic cat, Felis catus",3.8,1.8,0.554,0.470992297,0.008182416,0.45472412,0.486956604,1.840217391,0.935711798,1,4,5.247236087,3.0132571,2,13,3.908287749,1.988744792,2.065755224,8.57461954,0.669617011,0.010462473,0.648666597,0.68988125,1.964631474,0.022853347,1.919525286,2.009539473,3.822873309,0.066496792,3.696427945,3.958444079,0.634556769,0.580875033,0.686902282,0.080556769,0.026875033,0.132902282
"Spotted hyena, Crocuta crocuta",2,1.3,0.333,0.579392354,0.009918772,0.560011857,0.598792912,1.369607843,0.644477205,1,3,3.58236902,1.9226688,2,9,2.364562864,1.113560231,1.674390561,5.227074179,0.407916887,0.009830627,0.388900325,0.427340767,1.407916887,0.009830627,1.388900325,1.427340767,2.24438823,0.038465585,2.171034382,2.32137942,0.429716182,0.392753864,0.467779365,0.096716182,0.059753864,0.134779365
"Striped hyena, Hyaena hyaena",2.5,1.5,0.5,0.508365906,0.046883917,0.415968939,0.598347924,1.4,0.62450058,1,3,3.97263,2.205403147,2,10,2.777968994,1.272216952,1.691098583,6.147242079,0.473259272,0.052414452,0.372207561,0.57586018,1.532335111,0.066873202,1.406572632,1.66622645,2.976395351,0.281888077,2.506902658,3.60603848,0.520272231,0.472442377,0.568604234,0.020272231,-0.027557623,0.068604234
"Wolverine, Gulo gulo",2.1,1,0,0.571138908,0.015605782,0.54097783,0.601685419,1.339534884,0.571468813,1,3,3.545511163,1.827205192,2,8,2.347129191,1.003759587,1.668078588,5.23474137,0.431427038,0.016069422,0.400795083,0.463314039,1.443481256,0.017017084,1.411101785,1.477309223,1.752197139,0.04796746,1.661998063,1.848504586,0.449988862,0.410411826,0.490558665,0.449988862,0.410411826,0.490558665
