species,nbrood,avgbrood,minbrood,maxbrood,pmult,avgsire,minsire,maxsire
"White's skink, Egernia whitii",43,2.5,1,4,0.116,1.1,1,2
"Spiny-tailed skink, Egernia stokesii",16,4.2,1,7,0.25,1.3,1,2
"Cunningham's skink, Egernia cunninghami",38,3.4,2,7,0.026,1,1,2
"Southern water skink, Eulamprus heatwolei",17,3.2,2,5,0.647,1.7,1,3
"Southern snow skink, Niveoscincus microlepidotus",8,2.3,2,4,0.75,,,
"Spotted snow skink, Niveoscincus ocellatus",16,1.8,,,0.938,,,
"Mt log skink, Pseudomoia eurecateui",11,2.6,2,3,0.273,1.3,1,2
"Sleepy lizard, Tiliqua rugosa",17,2,1,3,0.235,1.2,1,2
"Common lizard, Lacerta vivipara",58,5.6,,,0.638,1.7,1,3
"Northern water snake, Nerodia sipedon",45,18,5,28,0.58,1.8,1,5
"Garter snake, Thamnophis sirtalis",28,9.6,3,21,0.578,1.7,1,3
"Western garter snake, Thamnophis elegans",6,13.8,8,24,0.5,1.7,1,3
"Common European adder, Vipera berus",13,7.7,2,13,0.692,2.2,1,4
"Rainbow mud snake, Enhydris enhydris",2,32.5,29,36,1,4,3,5
"Mekong mud snake, Enhydris  subtaeniata",4,18.5,14,25,1,4.3,3,5
Broods of 7 watersnake species (Homalopsidae),7,15.1,6,30,0.857,2,1,3
Broods of 5 Hydrophis and 1 Lapenmis species,12,6.4,4,18,0,1,,
"Fire salamander, Salamandra salamandra",21,22.8,9,41,0.524,1.7,1,3
